単語,平仮名,意味,词频
次々と,つぎつぎと,一个个,
自体,じたい,本身,
自宅,じたく,家,
自任,じにん,～,
湿気,しっけ,～,
尺度,しゃくど,尺，尺子；长度，尺寸,
弱点,じゃくてん,～,
主義,しゅぎ,～,
主題,しゅだい,～,
手間,てま,劳力和时间，工夫；工钱。,
手頃,てごろ,适手。适合，适称,
手当,てあて,预备，准备，治疗,
手配,てはい,安排,
手立て,てだて,手架,
収穫,しゅうかく,～,
収集,しゅうしゅう,收集,
集計,しゅうけい,～,
重視,じゅうし,～,
宿泊,しゅくはく,住宿；投宿,
熟考,じゅっこう,熟虑。仔细考虑。,
出費,しゅっぴ,开支，支出，开销,
純粋,じゅんすい,～,
順々に,じゅんじゅんに,按顺序；依次,
順番,じゅんばん,顺序，次序；轮班，轮流,
商談,しょうだん,～,
証明,しょうめい,～,
詳しく丁寧に,くわしくていねいに,详细并且细心地,
象徴,しょうちょう,象征,
丈夫で,じょうぶで,结实；坚固,
植生,しょくせい,植被,
織る,おる,织,
職種,しょくしゅ,～,
職人,しょくにん,～,
色合い,いろあい,色调,
信号,しんごう,～,
心構え,こころがまえ,精神准备，思想准备。,
新た,あらた,新的，首次。,
真実,しんじつ,～,
親しい,したしい,亲近,
親近感,しんきんかん,～,
診察,しんさつ,～,
進出,しんしゅつ,进入，打入；挤进；参加,
人体,じんたい,人体,
人柄,ひとがら,人品；人格；品质,
人脈,じんみゃく,～,
遂げる,とげる,完成,
嵩んで,かさんで,增大；增多（体积；数量；金额）,
澄む,すむ,清澈；光亮；清晰悦耳,
是正,ぜせい,订正；更正；矫正；纠正,
制限,せいげん,限制,
生き生きと,いきいきと,生动的,
生態系,せいたいけい,～,
盛大に,せいだいに,隆重；盛大,
精通,せいつう,～,
請求書,せいきゅうしょ,～,
石段,いしだん,石阶,
積み上げ,つみあげ,堆积，积累。,
積む,つむ,堆积，积垒；装载；积累，,
積極,せっきょく,积极,
切り抜け,きりぬけ,剪下，切下。,
切り離す,きりはなす,切开，分开,
設定,せってい,～,
絶大に,ぜつだいに,巨大,
先約,せんやく,以前的诺言，以前的约定,
潜在,せんざい,～,
鮮烈に,せんれつに,鲜明；强烈,
創造,そうぞう,～,
想像,そうぞう,～,
想定,そうてい,～,
操業,そうぎょう,作业；开工,
早速,さっそく,立刻,
相槌,あいづち,随声附和,
総合,そうごう,～,
装飾,そうしょく,～,
遭遇,そうぐう,～,
造形,ぞうけい,～,
測る,はかる,丈量；量；计量；推测。,
損失,そんしつ,～,
多角的な,たかくてきな,多方面的,
多発,たはつ,～,
対処,たいしょ,处理，应付，对付,
待合室,まちあいしつ,等候室。,
滞る,とどこおる,堵塞；积压；延误,
袋,ふくろ,袋，口袋，纸袋，布袋,
退職,たいしょく,～,
大波,おおなみ,大浪,
達する,たっする,到达,
脱ぐ,ぬぐ,～,
単純,たんじゅん,～,
担当,たんとう,～,
探る,さぐる,探；摸；调查,
短期,たんき,～,
断る,ことわる,不应允，拒绝；事先打招呼,
段階,だんかい,～,
地位,ちい,～,
池,いけ,池塘,
置き,おき,每间隔，每隔。,
着想,ちゃくそう,～,
中断,ちゅうだん,～,
抽選,ちゅうせん,～,
挑戦,ちょうせん,～,
聴講,ちょうこう,～,
調子,ちょうし,程度，情况。状况，样子,
調整,ちょうせい,～,
長期的,ちょうきてき,～,
直線,ちょくせん,～,
直前,ちょくぜん,～,
追い込む,おいこむ,赶进，撵进； 逼入,
追跡,ついせき,～,
潰れる,つぶれる,压坏，挤破，压碎。,
爪,つめ,～,
適当,てきとう,～,
適用,てきよう,～,
撤去,てっきょ,撤除；拆除,
展開,てんかい,～,
添付,てんぷ,附加,
転倒,てんとう,跌倒,
伝統,でんとう,～,
度胸,どきょう,胆量；气魄,
土器,どき,陶器,
土砂,どしゃ,～,
土壌,どじょう,～,
投げる,なげる,投，抛，扔，掷；摔；,
統合,とうごう,合并,
踏まえる,ふまえる,作为根据，踏；踩。,
踏み間違い,ふみまちがい,踩错,
透明,とうめい,～,
同僚,どうりょう,同事,
導く,みちびく,引导，指导，领导。,
読み直す,よみなおす,重读。,
突っ込んだ,つっこんだ,闯入；深入,
内省,ないせい,反省，自我检查；内省,
入念,にゅうねん,细心，仔细，精心,
忍耐,にんたい,忍耐,
認識,にんしき,～,
認定,にんてい,认定,
年寄,としより,年老,
燃料,ねんりょう,～,
濃密,のうみつ,浓厚而细腻。,
能力,のうりょく,～,
排除,はいじょ,～,
配収,はいしゅう,配收,
博大,はくだい,博大,
薄く,うすく,薄的,
莫大,ばくだい,莫大；数量非常大,
発揮,はっき,发挥,
発色,はっしょく,发色；生色,
発展,はってん,～,
発明,はつめい,～,
犯人,はんにん,～,
番組,ばんぐみ,广播，演剧，比赛等的）节目,
飛躍,ひやく,～,
備え付ける,そなえつける,设置，备置，装置。,
不安,ふあん,～,
不思議,ふしぎ,难以想象，不可思议,
付き合い,つきあい,交际，交往，来往,
布,ぬの,～,
舞台,ぶたい,～,
風土,ふうど,～,
副業,ふくぎょう,～,
福利,ふくり,～,
覆う,おおう,蒙上，盖上，覆盖,
分限,ぶんげん,身份，财产，有钱人。,
紛れ,まぎれ,混同，混杂，极为，过分。,
紛失,ふんしつ,遗失，丢失，失落。,
並べて,ならべて,摆；陈列,
編む,あむ,编，织；编辑；安排，编排。,
弁論,べんろん,辩论,
歩道,ほどう,人行道,
補い合える,おぎないあえる,相辅相成,
補強,ほきょう,增强；强化,
補助,ほじょ,～,
募集,ぼしゅう,～,
放置,ほうち,～,
方策,ほうさく,方策，方略,
方針,ほうしん,～,
慢性,まんせい,～,
満たす,みたす,满足。充满；填满,
無意識,むいしき,～,
無料,むりょう,免费,
矛盾,むじゅん,～,
面談,めんだん,～,
面白い,おもしろい,有意思；有趣,
模様,もよう,花样，情况，情形,
木材,もくざい,～,
目安,めやす,目标,
目通し,めとおし,过目,
愉快,ゆかい,愉快,
輸送,ゆそう,～,
勇気,ゆうき,～,
誘拐,ゆうかい,诱拐,
郵送,ゆうそう,～,
予算,よさん,～,
余分,よぶん,多余，剩余。,
幼い,おさない,年幼,
溶け込ませる,とけこませる,熔化,
踊り,おどり,舞蹈,
落下,らっか,～,
立ち戻る,たちもどる,返回,
流布,るふ,流传；散布；传播,
溜まる,たまる,积压,
旅先,たびさき,旅途,
両立,りょうりつ,两立；并存。,
輪郭,りんかく,～,
例の,れいの,往常的，照例的。,
練る,ねる,炼；推敲；熬制,
連動,れんどう,联锁，联动，传动,
老朽化,ろうきゅうか,老旧,
和紙,わし,日本纸。,
話題,わだい,～,
躊躇,ちゅうちょ,踌躇；犹豫,
